Features extracted and tracked: 943

[951, 4;
 897, 8;
 950, 8;
 913, 9;
 915, 9;
 900, 12;
 931, 15;
 947, 17;
 818, 18;
 823, 18;
 826, 20;
 812, 21;
 816, 21;
 619, 22;
 824, 22;
 907, 22;
 616, 23;
 803, 23;
 832, 23;
 841, 23;
 947, 23;
 838, 24;
 949, 24;
 744, 25;
 752, 25;
 829, 25;
 674, 26;
 738, 26;
 815, 27;
 842, 27;
 909, 27;
 912, 27;
 819, 28;
 830, 28;
 733, 29;
 761, 29;
 800, 29;
 824, 29;
 830, 30;
 837, 31;
 843, 31;
 906, 31;
 679, 32;
 1081, 32;
 1086, 32;
 728, 34;
 764, 35;
 840, 35;
 1084, 35;
 1112, 35;
 728, 36;
 643, 37;
 763, 37;
 1111, 37;
 901, 38;
 928, 40;
 1085, 40;
 640, 41;
 1097, 41;
 1106, 41;
 599, 42;
 1111, 42;
 946, 43;
 1095, 43;
 1104, 44;
 1071, 46;
 1103, 46;
 1106, 46;
 765, 47;
 1067, 47;
 1109, 47;
 1084, 48;
 1086, 48;
 677, 49;
 957, 49;
 972, 50;
 640, 51;
 676, 51;
 966, 51;
 1080, 51;
 1093, 51;
 960, 52;
 1108, 52;
 641, 53;
 955, 53;
 969, 53;
 1101, 53;
 1119, 53;
 960, 54;
 971, 54;
 974, 54;
 1105, 54;
 1098, 55;
 642, 56;
 971, 56;
 1083, 56;
 762, 57;
 1074, 57;
 725, 58;
 642, 59;
 897, 59;
 1041, 59;
 1079, 59;
 1023, 60;
 1039, 60;
 1044, 60;
 1046, 63;
 590, 64;
 716, 64;
 1040, 64;
 1080, 64;
 652, 66;
 760, 66;
 1141, 66;
 880, 67;
 1075, 67;
 1144, 67;
 1086, 68;
 655, 69;
 761, 69;
 1100, 69;
 1104, 69;
 1126, 69;
 1129, 69;
 582, 70;
 580, 71;
 582, 72;
 850, 72;
 852, 72;
 854, 72;
 682, 73;
 582, 76;
 367, 77;
 1145, 77;
 595, 79;
 1145, 79;
 642, 80;
 657, 80;
 653, 81;
 653, 84;
 815, 84;
 637, 85;
 803, 85;
 548, 86;
 550, 86;
 800, 86;
 651, 88;
 637, 89;
 155, 90;
 148, 92;
 370, 92;
 658, 94;
 782, 94;
 527, 96;
 163, 97;
 1034, 99;
 1077, 101;
 1031, 103;
 1173, 104;
 704, 105;
 1190, 105;
 1138, 106;
 1155, 106;
 1180, 106;
 1198, 106;
 1147, 107;
 1151, 107;
 1160, 107;
 1187, 107;
 1193, 107;
 703, 108;
 1141, 108;
 1172, 109;
 1175, 110;
 1195, 110;
 917, 111;
 1146, 111;
 1149, 111;
 1164, 111;
 675, 112;
 1160, 112;
 1177, 112;
 1194, 112;
 1136, 113;
 1201, 113;
 611, 114;
 1195, 114;
 1203, 114;
 1206, 114;
 1148, 115;
 1200, 115;
 1193, 117;
 1147, 118;
 1152, 118;
 1160, 118;
 1186, 118;
 1197, 118;
 1157, 119;
 663, 120;
 663, 122;
 1209, 122;
 1150, 123;
 1152, 123;
 1160, 123;
 1162, 123;
 1172, 123;
 1154, 124;
 1206, 124;
 675, 125;
 1170, 125;
 1174, 125;
 675, 127;
 1144, 127;
 409, 128;
 593, 128;
 1174, 128;
 645, 129;
 1206, 129;
 1154, 130;
 1217, 130;
 1223, 130;
 420, 131;
 1170, 131;
 1173, 131;
 527, 132;
 1153, 132;
 1156, 132;
 1162, 132;
 1221, 132;
 676, 133;
 1206, 133;
 411, 134;
 1230, 134;
 1188, 135;
 400, 136;
 728, 136;
 1154, 136;
 1169, 136;
 1185, 136;
 1230, 136;
 1175, 137;
 1211, 137;
 1173, 138;
 1231, 138;
 400, 139;
 1160, 139;
 1177, 139;
 1184, 139;
 1179, 140;
 1156, 141;
 1232, 141;
 1159, 142;
 676, 143;
 727, 143;
 1140, 143;
 1189, 144;
 1232, 144;
 1239, 144;
 670, 146;
 724, 147;
 1214, 148;
 1235, 148;
 701, 149;
 726, 149;
 1164, 151;
 701, 152;
 725, 152;
 444, 154;
 1253, 155;
 676, 156;
 1241, 156;
 1243, 156;
 1248, 157;
 662, 159;
 1102, 159;
 1259, 159;
 920, 160;
 1223, 160;
 1250, 160;
 1141, 161;
 1253, 161;
 1144, 162;
 1260, 162;
 1138, 163;
 1201, 163;
 1216, 163;
 663, 164;
 520, 165;
 1258, 165;
 1260, 165;
 564, 166;
 536, 167;
 1200, 167;
 1204, 167;
 1256, 169;
 1263, 169;
 1199, 170;
 1216, 170;
 1193, 171;
 1250, 171;
 1254, 171;
 1258, 171;
 1261, 172;
 1190, 173;
 1259, 174;
 1231, 175;
 916, 176;
 1150, 176;
 1178, 176;
 1209, 176;
 1243, 176;
 773, 177;
 778, 177;
 798, 177;
 1165, 177;
 1217, 177;
 1224, 177;
 1263, 177;
 785, 178;
 1174, 178;
 1183, 178;
 778, 179;
 780, 179;
 815, 179;
 1144, 179;
 1181, 179;
 1191, 179;
 1232, 179;
 1169, 180;
 810, 181;
 819, 181;
 1156, 181;
 1166, 181;
 791, 182;
 1141, 182;
 1154, 182;
 1164, 182;
 1217, 182;
 1223, 182;
 776, 183;
 1192, 183;
 1245, 183;
 1254, 183;
 722, 184;
 1151, 184;
 1211, 184;
 1236, 184;
 1248, 184;
 1176, 185;
 661, 186;
 776, 186;
 779, 186;
 785, 186;
 826, 186;
 867, 186;
 751, 187;
 782, 187;
 818, 187;
 1255, 187;
 718, 188;
 723, 188;
 774, 188;
 780, 188;
 792, 188;
 801, 188;
 821, 188;
 823, 188;
 835, 188;
 1250, 188;
 677, 189;
 797, 189;
 807, 189;
 1242, 189;
 775, 190;
 778, 190;
 784, 190;
 788, 190;
 792, 190;
 812, 190;
 1244, 190;
 815, 191;
 1232, 191;
 687, 192;
 783, 192;
 803, 192;
 842, 192;
 626, 193;
 1256, 193;
 1226, 194;
 708, 196;
 1227, 196;
 1247, 196;
 775, 197;
 1253, 197;
 622, 198;
 627, 198;
 668, 198;
 838, 198;
 1214, 198;
 1224, 198;
 1233, 198;
 1242, 198;
 666, 199;
 826, 199;
 1250, 199;
 743, 200;
 1212, 200;
 1215, 200;
 1247, 200;
 589, 201;
 621, 201;
 738, 201;
 1242, 201;
 1256, 201;
 709, 203;
 1227, 203;
 1246, 203;
 580, 204;
 707, 204;
 815, 204;
 1254, 204;
 623, 205;
 811, 205;
 846, 205;
 1240, 205;
 1244, 205;
 815, 206;
 1227, 206;
 1231, 206;
 812, 207;
 639, 208;
 1227, 208;
 844, 209;
 1216, 209;
 1220, 209;
 1241, 209;
 1243, 209;
 699, 210;
 1228, 210;
 701, 211;
 818, 211;
 844, 211;
 1234, 211;
 1253, 211;
 675, 212;
 1238, 212;
 1241, 212;
 814, 213;
 1254, 214;
 1260, 214;
 1253, 216;
 1257, 216;
 590, 218;
 595, 218;
 763, 218;
 1253, 218;
 673, 219;
 699, 220;
 702, 221;
 1253, 221;
 701, 225;
 628, 226;
 630, 226;
 635, 226;
 639, 226;
 645, 227;
 640, 229;
 629, 230;
 656, 231;
 661, 231;
 1083, 231;
 609, 232;
 615, 232;
 590, 233;
 657, 235;
 660, 235;
 662, 235;
 633, 236;
 694, 237;
 611, 238;
 630, 239;
 614, 240;
 654, 240;
 699, 241;
 609, 242;
 636, 242;
 654, 243;
 124, 244;
 609, 244;
 649, 244;
 698, 244;
 912, 244;
 651, 245;
 1115, 245;
 608, 246;
 647, 247;
 651, 247;
 388, 248;
 655, 248;
 385, 249;
 648, 249;
 664, 249;
 667, 249;
 698, 249;
 392, 250;
 448, 250;
 576, 250;
 389, 251;
 464, 251;
 648, 252;
 659, 252;
 577, 253;
 589, 253;
 594, 253;
 641, 253;
 644, 253;
 662, 253;
 578, 255;
 616, 255;
 595, 256;
 660, 256;
 1159, 256;
 614, 257;
 1132, 257;
 1130, 258;
 1191, 258;
 616, 259;
 637, 259;
 595, 262;
 626, 262;
 641, 262;
 645, 263;
 666, 263;
 630, 264;
 652, 264;
 695, 264;
 1024, 264;
 1027, 264;
 1030, 264;
 642, 265;
 1032, 265;
 1020, 266;
 622, 267;
 1018, 267;
 593, 268;
 695, 268;
 1018, 269;
 597, 271;
 624, 271;
 663, 272;
 698, 272;
 701, 272;
 701, 274;
 724, 274;
 619, 275;
 661, 276;
 693, 277;
 998, 277;
 1040, 277;
 1089, 277;
 1064, 279;
 1099, 279;
 591, 280;
 699, 280;
 977, 280;
 980, 280;
 984, 280;
 1047, 280;
 1062, 280;
 989, 281;
 974, 282;
 976, 282;
 1092, 282;
 991, 283;
 1100, 283;
 582, 284;
 628, 284;
 1137, 284;
 999, 286;
 1009, 286;
 1068, 286;
 910, 287;
 1091, 287;
 516, 288;
 594, 288;
 689, 288;
 1071, 288;
 1078, 288;
 1095, 288;
 1059, 289;
 1082, 289;
 1092, 289;
 1099, 289;
 1121, 289;
 1084, 290;
 1060, 291;
 1090, 291;
 1034, 292;
