Tracked points: 136
Barrier: 10
Max acceptable difference: 10000

[980, 49;
 995, 50;
 948, 54;
 1029, 54;
 982, 58;
 1002, 62;
 845, 56;
 851, 57;
 855, 58;
 841, 58;
 1056, 68;
 1054, 69;
 855, 60;
 827, 63;
 816, 69;
 782, 75;
 115, 85;
 339, 86;
 120, 84;
 122, 83;
 340, 86;
 788, 79;
 316, 86;
 320, 86;
 762, 79;
 753, 82;
 765, 80;
 768, 80;
 375, 98;
 843, 113;
 931, 126;
 817, 186;
 825, 186;
 828, 190;
 813, 195;
 727, 199;
 776, 200;
 108, 246;
 153, 247;
 292, 247;
 305, 249;
 223, 250;
 320, 251;
 429, 249;
 521, 251;
 441, 252;
 508, 255;
 1080, 256;
 1205, 256;
 1208, 258;
 1182, 261;
 1092, 285;
 1047, 287;
 1059, 287;
 1091, 288;
 1034, 293;
 1142, 366;
 262, 383;
 281, 384;
 783, 400;
 750, 405;
 839, 401;
 1243, 398;
 954, 396;
 1275, 405;
 909, 410;
 1176, 409;
 318, 408;
 1079, 413;
 1090, 413;
 1096, 413;
 1070, 414;
 1059, 416;
 1101, 420;
 1103, 425;
 66, 428;
 58, 431;
 74, 429;
 754, 429;
 63, 431;
 686, 432;
 750, 431;
 673, 433;
 1014, 437;
 331, 443;
 390, 452;
 406, 451;
 1031, 451;
 1022, 452;
 1044, 453;
 306, 456;
 1038, 455;
 293, 457;
 1036, 456;
 1071, 457;
 1047, 459;
 1063, 459;
 231, 460;
 1067, 460;
 1072, 461;
 1066, 463;
 154, 466;
 1093, 464;
 70, 470;
 148, 469;
 1093, 467;
 1103, 466;
 1105, 473;
 57, 475;
 33, 469;
 1162, 482;
 1159, 484;
 1171, 486;
 1179, 488;
 1212, 499;
 1242, 505;
 1252, 508;
 1278, 506;
 879, 564;
 922, 557;
 3, 580;
 1096, 620;
 592, 622;
 413, 629;
 389, 626;
 292, 632;
 674, 661;
 934, 666;
 318, 660;
 394, 678;
 284, 684;
 448, 680;
 834, 674;
 259, 690;
 675, 700;
 276, 708]
