Tracked points: 203
Barrier: 10
Max acceptable difference: 10000

[570, 62;
 571, 64;
 549, 66;
 579, 87;
 594, 94;
 769, 91;
 656, 93;
 920, 99;
 767, 100;
 844, 101;
 770, 104;
 843, 105;
 616, 109;
 600, 112;
 679, 110;
 732, 110;
 878, 110;
 619, 111;
 715, 111;
 790, 111;
 623, 112;
 806, 112;
 600, 115;
 630, 115;
 787, 113;
 638, 116;
 676, 116;
 730, 114;
 769, 114;
 807, 114;
 638, 118;
 715, 119;
 633, 122;
 710, 121;
 764, 121;
 753, 132;
 786, 133;
 788, 133;
 899, 135;
 861, 148;
 785, 153;
 786, 155;
 672, 152;
 824, 153;
 420, 166;
 417, 168;
 425, 168;
 422, 169;
 385, 170;
 520, 170;
 425, 171;
 442, 171;
 671, 176;
 427, 172;
 520, 172;
 385, 173;
 386, 173;
 417, 174;
 524, 178;
 599, 179;
 600, 182;
 601, 184;
 583, 191;
 599, 195;
 567, 200;
 570, 200;
 374, 203;
 573, 208;
 572, 216;
 640, 221;
 360, 227;
 363, 227;
 247, 234;
 247, 238;
 249, 239;
 255, 246;
 239, 249;
 253, 252;
 381, 273;
 603, 287;
 252, 292;
 281, 298;
 711, 293;
 746, 303;
 898, 307;
 919, 307;
 244, 308;
 407, 308;
 410, 310;
 318, 311;
 244, 313;
 341, 313;
 409, 313;
 673, 318;
 782, 318;
 635, 316;
 925, 318;
 409, 319;
 746, 320;
 854, 320;
 343, 324;
 343, 326;
 369, 327;
 372, 328;
 374, 329;
 635, 332;
 673, 332;
 708, 332;
 744, 333;
 709, 334;
 822, 334;
 854, 334;
 711, 335;
 741, 335;
 749, 335;
 785, 335;
 850, 335;
 852, 335;
 858, 335;
 602, 336;
 632, 336;
 663, 336;
 675, 336;
 704, 336;
 706, 336;
 746, 336;
 782, 336;
 854, 336;
 670, 337;
 673, 337;
 709, 337;
 633, 338;
 674, 338;
 778, 338;
 854, 338;
 638, 339;
 746, 339;
 781, 339;
 871, 340;
 778, 340;
 673, 341;
 600, 342;
 275, 365;
 887, 362;
 263, 382;
 914, 391;
 913, 396;
 920, 401;
 335, 408;
 869, 412;
 912, 418;
 915, 418;
 917, 418;
 914, 422;
 917, 422;
 263, 427;
 267, 428;
 1052, 449;
 534, 453;
 1052, 453;
 1055, 454;
 1048, 456;
 1053, 458;
 1053, 461;
 1051, 463;
 1052, 468;
 1054, 468;
 1056, 468;
 1052, 474;
 1056, 473;
 1052, 479;
 489, 525;
 632, 547;
 67, 549;
 46, 556;
 631, 555;
 61, 551;
 469, 558;
 639, 559;
 192, 580;
 652, 584;
 565, 601;
 678, 609;
 443, 647;
 26, 647;
 593, 662;
 409, 641;
 660, 667;
 1024, 665;
 568, 668;
 347, 676;
 748, 677;
 633, 688;
 308, 692;
 485, 696;
 581, 700;
 356, 703;
 326, 700;
 807, 706;
 305, 707;
 615, 719;
 138, 702;
 494, 717]
