3D points: 815

[-2169.6372, -30.843069, 9.6034803, 1;
 -2132.406, -29.127892, 9.6743155, 1;
 3069.9929, 212.23042, -3.6218243, 0.99999994;
 -2405.3396, -41.272655, 10.313881, 1;
 -2396.6038, -40.733887, 10.541878, 1;
 -2530.2954, -46.727097, 10.796845, 0.99999994;
 -2530.6978, -46.435474, 11.050222, 0.99999994;
 -2789.5918, -58.040302, 11.853675, 1;
 -3158.4277, -74.14006, 13.282226, 1;
 -3067.5669, -69.968597, 13.253142, 1;
 -3060.5625, -69.663475, 13.232817, 1;
 -2833.9998, -59.493473, 12.325405, 1;
 -3290.3042, -79.887245, 13.88628, 1;
 -3535.4128, -90.585754, 14.840487, 1;
 -3501.8865, -89.119461, 14.739453, 1;
 -3753.1873, -99.389389, 15.784142, 1;
 -4138.9204, -116.92597, 17.207596, 1;
 -4842.0713, -147.60657, 20.050209, 0.99999994;
 -4791.4521, -145.39458, 19.87816, 1;
 -4467.582, -130.48297, 18.930138, 1;
 255.0155, 74.386215, 1.7736276, 1;
 -4971.8774, -152.94205, 21.006506, 1;
 -4360.9946, -125.93462, 18.94961, 1;
 -6488.7466, -219.45738, 26.690742, 1;
 -8626.6689, -312.75183, 35.226204, 1;
 -6870.1143, -235.03238, 29.377783, 1;
 -7681.7441, -270.32626, 32.772861, 1;
 -10666.334, -400.08929, 45.12944, 1;
 -10341.364, -385.96954, 43.836399, 1;
 29714.672, 1360.4777, -116.978, 1;
 -36305.191, -1514.8849, 151.72115, 0.99999994;
 10210.895, 509.32321, -39.584637, 1;
 7290.5537, 381.84744, -28.266676, 1;
 6476.7451, 346.33167, -25.043478, 1;
 3766.0266, 227.45457, -14.963387, 1;
 321.55005, 78.889221, 0.31117192, 1;
 2886.7544, 189.21942, -11.28656, 1;
 2510.2322, 172.85362, -9.6623678, 1;
 2013.2009, 151.30803, -7.5458646, 1;
 2023.2878, 151.74745, -7.5923266, 1;
 2074.594, 153.98247, -7.8286514, 1;
 518.72528, 86.905907, -0.80814672, 1;
 987.46271, 106.65764, -3.2245603, 1;
 959.09601, 105.47569, -3.1004488, 1;
 983.06683, 106.46708, -3.2158833, 1;
 994.23804, 106.95385, -3.2691791, 1;
 948.08667, 104.94379, -3.0608451, 1;
 907.80701, 103.24107, -2.8788645, 1;
 937.30511, 104.47489, -3.0209033, 0.99999994;
 965.61523, 105.7085, -3.1562333, 1;
 901.47772, 102.965, -2.8707156, 1;
 908.1524, 103.25576, -2.9026845, 1;
 800.73547, 98.633461, -2.3922663, 1;
 811.4353, 99.099243, -2.4435434, 1;
 867.5993, 101.48903, -2.7190194, 1;
 900.06598, 102.90334, -2.8746636, 1;
 908.45007, 103.22012, -2.9158087, 1;
 1004.8721, 107.42168, -3.3780282, 1;
 779.52484, 97.708778, -2.3007221, 1;
 837.6969, 100.1861, -2.5959136, 1;
 868.85199, 101.49621, -2.7464507, 1;
 746.46887, 96.267258, -2.1614892, 1;
 772.10602, 97.383209, -2.2846808, 1;
 860.57288, 101.18229, -2.725414, 1;
 727.73999, 95.449524, -2.0899148, 1;
 758.17297, 96.72155, -2.2419267, 1;
 926.73859, 104.02087, -3.0543442, 0.99999994;
 694.83466, 94.047043, -1.9568025, 1;
 623.7182, 90.926514, -1.6101288, 1;
 607.20032, 90.206688, -1.5385301, 0.99999994;
 612.1228, 90.419426, -1.5702372, 0.99999994;
 512.20789, 86.203926, -1.110465, 1;
 638.61133, 91.561264, -1.7252893, 1;
 972.57227, 105.91193, -3.3502605, 1;
 413.3869, 81.985962, -0.63368851, 1;
 503.04214, 85.802818, -1.0730491, 1;
 558.89612, 88.099426, -1.3426889, 1;
 561.047, 88.192955, -1.353111, 1;
 671.86084, 92.960472, -1.8983601, 1;
 537.85901, 87.308998, -1.248872, 1;
 532.02972, 86.928772, -1.226347, 1;
 565.18982, 88.363457, -1.3907765, 1;
 485.65765, 85.038376, -1.0088412, 1;
 822.74573, 99.464279, -2.6502132, 1;
 477.26096, 84.670967, -0.97447813, 1;
 580.17505, 88.998756, -1.496658, 1;
 382.65356, 80.625389, -0.52821994, 1;
 391.72797, 80.957664, -0.57639277, 1;
 529.13745, 86.790039, -1.247998, 1;
 780.90527, 97.644806, -2.475523, 1;
 760.26044, 96.745964, -2.3817937, 1;
 368.26538, 79.922791, -0.49485892, 1;
 705.68433, 94.399963, -2.1498704, 1;
 762.33179, 96.776794, -2.4343164, 1;
 794.67737, 98.187477, -2.5924101, 1;
 355.2659, 79.35141, -0.44642437, 1;
 695.56329, 93.869835, -2.1250732, 1;
 712.9646, 94.718765, -2.2087135, 1;
 736.15131, 95.640289, -2.3237619, 0.99999994;
 739.41864, 95.782806, -2.339756, 1;
 344.05432, 78.860832, -0.40114993, 1;
 624.0155, 90.842896, -1.7785951, 1;
 634.79846, 91.312813, -1.8314147, 1;
 343.02927, 78.81356, -0.40083212, 1;
 344.50168, 78.877182, -0.40805584, 1;
 623.12933, 90.804642, -1.7795436, 1;
 698.76068, 94.012772, -2.1517019, 1;
 748.53577, 96.183846, -2.3956118, 1;
 361.65817, 79.605995, -0.49935374, 1;
 606.07532, 90.06179, -1.7011318, 1;
 707.55658, 94.398132, -2.2001891, 1;
 721.10907, 94.989273, -2.2666323, 1;
 360.50055, 79.553284, -0.49823999, 0.99999994;
 365.66208, 79.776741, -0.52358574, 1;
 444.86853, 83.099098, -0.91665989, 1;
 596.95032, 89.664474, -1.6614581, 0.99999994;
 705.97064, 94.330574, -2.1977153, 1;
 332.20071, 78.337036, -0.36133039, 1;
 720.81647, 94.979706, -2.2757919, 1;
 706.91864, 94.375076, -2.2127378, 1;
 566.39111, 88.333725, -1.526093, 1;
 322.65274, 77.916283, -0.32737556, 1;
 339.15213, 78.619293, -0.41081184, 1;
 558.13751, 87.974342, -1.4902359, 0.99999994;
 533.97357, 87.003906, -1.3814046, 1;
 323.99118, 77.951523, -0.35643429, 1;
 306.31946, 77.195328, -0.2710731, 1;
 314.12466, 77.532539, -0.30957443, 0.99999994;
 503.0802, 85.655319, -1.2505864, 1;
 297.43274, 76.806671, -0.23477298, 0.99999994;
 313.23999, 77.475487, -0.32214919, 1;
 298.8721, 76.861877, -0.25280857, 1;
 267.41617, 75.501717, -0.10080106, 1;
 311.28992, 77.387016, -0.31964347, 1;
 400.20425, 81.159172, -0.75866032, 1;
 475.80914, 84.464737, -1.1356268, 1;
 290.44922, 76.493568, -0.21818629, 0.99999994;
 292.27145, 76.572289, -0.22719996, 1;
 301.43732, 76.968346, -0.27253675, 1;
 393.52081, 80.867317, -0.7328831, 1;
 442.13571, 82.949654, -0.97553778, 1;
 290.07098, 76.472923, -0.2231373, 1;
 434.03119, 82.596466, -0.94260317, 1;
 283.23032, 76.173225, -0.19589432, 1;
 379.9949, 80.27739, -0.67644596, 1;
 282.21976, 76.12751, -0.19413152, 0.99999994;
 357.47638, 79.29718, -0.57164913, 1;
 276.86618, 75.882408, -0.17564115, 1;
 357.15063, 79.282433, -0.5732975, 1;
 290.16498, 76.455925, -0.24469608, 0.99999994;
 548.92169, 87.511688, -1.5303922, 0.99999994;
 618.93079, 90.519325, -1.8815403, 1;
 621.91748, 90.670403, -1.8960184, 1;
 623.51068, 90.739929, -1.9039145, 1;
 633.94421, 91.238922, -1.9531558, 1;
 638.59094, 91.424324, -1.9782677, 1;
 254.67288, 74.92807, -0.07299114, 1;
 538.19855, 87.04586, -1.4840819, 1;
 622.85229, 90.756714, -1.905251, 1;
 637.75177, 91.389648, -1.981168, 1;
 253.68774, 74.88166, -0.073980577, 1;
 256.38879, 74.998245, -0.087398238, 1;
 299.17465, 76.810242, -0.30194554, 1;
 349.85657, 78.950195, -0.55598181, 1;
 633.97345, 91.205986, -1.9661955, 1;
 253.47266, 74.870468, -0.075797178, 0.99999994;
 292.91983, 76.566826, -0.27335468, 1;
 626.74707, 90.911522, -1.9334396, 1;
 627.76654, 90.937485, -1.9421648, 0.99999994;
 260.59378, 75.164703, -0.11839692, 1;
 277.78299, 75.908371, -0.20385164, 1;
 255.59412, 74.946846, -0.096304104, 0.99999994;
 262.45764, 75.243675, -0.1304376, 1;
 612.38171, 90.226341, -1.8761995, 0.99999994;
 217.2979, 73.382019, 0.095560364, 1;
 204.17885, 72.723244, 0.15416649, 1;
 299.4744, 76.816223, -0.32047302, 0.99999994;
 194.77917, 72.329987, 0.19986123, 1;
 214.47641, 73.222557, 0.10375057, 1;
 255.97313, 74.958435, -0.10628517, 1;
 136.77669, 69.82135, 0.48486182, 1;
 216.34216, 73.332542, 0.092331395, 1;
 242.49715, 74.374153, -0.041821528, 1;
 272.86642, 75.687935, -0.19302565, 1;
 281.95343, 76.054115, -0.23868008, 1;
 295.26801, 76.631569, -0.30494896, 1;
 304.509, 76.979362, -0.35699221, 1;
 425.2066, 82.309357, -0.95384216, 1;
 206.61633, 72.835312, 0.13576651, 1;
 268.91046, 75.515228, -0.17595239, 1;
 563.66516, 88.12516, -1.6490175, 1;
 149.88132, 70.592735, 0.4215382, 1;
 242.7265, 74.380951, -0.048104551, 1;
 265.53052, 75.367477, -0.16170661, 0.99999994;
 280.15939, 75.974129, -0.23498176, 0.99999994;
 563.37427, 88.113739, -1.6504951, 1;
 179.41734, 71.661842, 0.26636785, 1;
 261.18588, 75.178001, -0.14261441, 1;
 276.69281, 75.822731, -0.22028299, 1;
 250.90179, 74.731552, -0.093876518, 0.99999994;
 276.86777, 75.829262, -0.22369035, 1;
 287.7196, 76.299934, -0.27776226, 1;
 288.75986, 76.345055, -0.28294554, 1;
 196.95677, 72.489113, 0.17639288, 0.99999994;
 244.78461, 74.4655, -0.06585554, 1;
 256.19412, 74.959137, -0.12274025, 1;
 301.50021, 76.859047, -0.35201842, 1;
 543.64874, 87.256248, -1.5608157, 1;
 551.02252, 87.578201, -1.5975451, 0.99999994;
 564.56409, 88.169418, -1.6649977, 1;
 567.29352, 88.288567, -1.6785934, 1;
 207.08049, 72.888847, 0.12295061, 1;
 239.75204, 74.246391, -0.043198716, 1;
 256.47787, 74.970032, -0.1266118, 1;
 262.09735, 75.186745, -0.15503508, 1;
 316.90338, 77.511086, -0.43030369, 1;
 578.09521, 88.744087, -1.735471, 1;
 244.9825, 74.471222, -0.071698651, 1;
 275.36227, 75.760895, -0.22361742, 0.99999994;
 276.37115, 75.804657, -0.22864835, 1;
 559.28418, 87.941292, -1.6442441, 0.99999994;
 569.57202, 88.373299, -1.6957731, 1;
 571.60504, 88.462067, -1.705905, 1;
 280.56863, 75.985748, -0.25200704, 1;
 282.58759, 76.073326, -0.26207772, 0.99999994;
 530.75409, 86.696823, -1.5047461, 0.99999994;
 570.60364, 88.419678, -1.7036531, 1;
 256.47351, 74.939842, -0.1341846, 0.99999994;
 522.95142, 86.357292, -1.4684992, 1;
 541.68652, 87.175331, -1.5619185, 1;
 242.16016, 74.345024, -0.064689673, 1;
 249.8381, 74.677277, -0.10301928, 1;
 252.73441, 74.80265, -0.1174776, 0.99999994;
 270.94473, 75.566353, -0.20875074, 0.99999994;
 540.88599, 87.141533, -1.5605701, 1;
 258.73758, 75.035049, -0.15244038, 1;
 260.18283, 75.097717, -0.15965699, 1;
 302.93201, 76.919052, -0.37128082, 1;
 260.91553, 75.12854, -0.16558707, 0.99999994;
 509.69867, 85.783119, -1.4126606, 0.99999994;
 524.64551, 86.435783, -1.4872658, 0.99999994;
 254.50433, 74.849594, -0.1358043, 1;
 262.11871, 75.179794, -0.17384426, 1;
 268.83447, 75.4711, -0.20739394, 1;
 265.21634, 75.313248, -0.19154619, 1;
 543.49695, 87.244957, -1.5866377, 1;
 253.65392, 74.81086, -0.13595869, 0.99999994;
 260.23483, 75.096275, -0.16885141, 1;
 392.53925, 80.726318, -0.83287984, 0.99999994;
 530.67047, 86.702042, -1.5248123, 1;
 245.44891, 74.478584, -0.096743703, 1;
 260.48224, 75.106117, -0.17226171, 0.99999994;
 262.36179, 75.187653, -0.18165804, 1;
 263.30301, 75.228477, -0.18636353, 1;
 264.71674, 75.28981, -0.19343098, 1;
 324.8735, 77.854881, -0.49592805, 1;
 536.95239, 86.961563, -1.5588679, 1;
 539.44067, 87.070221, -1.5712999, 1;
 236.17429, 74.075882, -0.052493043, 1;
 245.90517, 74.473053, -0.10151884, 1;
 524.98352, 86.455803, -1.5012431, 1;
 242.43585, 74.345795, -0.085923426, 1;
 257.25961, 74.9646, -0.16042191, 1;
 533.03204, 86.792694, -1.5440817, 0.99999994;
 194.47202, 72.28083, 0.15318826, 1;
 254.30048, 74.835373, -0.14771974, 0.99999994;
 258.43939, 75.014923, -0.1684256, 1;
 528.0719, 86.577248, -1.5216449, 1;
 233.23267, 73.945061, -0.044017352, 1;
 244.13245, 74.393539, -0.098914996, 1;
 248.20306, 74.570076, -0.11928462, 1;
 273.69092, 75.647652, -0.24826322, 0.99999994;
 251.6665, 74.719444, -0.1386673, 0.99999994;
 523.73859, 86.390259, -1.5046111, 1;
 229.56851, 73.784187, -0.029719608, 1;
 232.64937, 73.917557, -0.045146812, 1;
 233.53157, 73.95575, -0.049564384, 1;
 248.80025, 74.594299, -0.12634851, 1;
 251.0477, 74.691788, -0.13759957, 1;
 276.34299, 75.761986, -0.265636, 0.99999994;
 521.737, 86.318924, -1.49666, 0.99999994;
 229.51688, 73.78083, -0.031450815, 1;
 251.33096, 74.703255, -0.14102654, 1;
 260.11392, 75.055878, -0.18640867, 1;
 265.99774, 75.311691, -0.21586509, 0.99999994;
 268.72635, 75.430328, -0.22952531, 1;
 285.44791, 76.131264, -0.3146162, 1;
 236.8884, 74.09893, -0.070347466, 1;
 245.83582, 74.464073, -0.11549308, 1;
 510.1524, 85.800209, -1.4433794, 0.99999994;
 515.22174, 86.036354, -1.4685394, 0.99999994;
 518.89984, 86.182213, -1.487162, 1;
 233.31696, 73.943214, -0.054409068, 1;
 270.01874, 75.485573, -0.2399613, 0.99999994;
 517.13049, 86.105988, -1.4805101, 1;
 278.46725, 75.832222, -0.28452909, 1;
 466.54474, 83.927917, -1.2289596, 1;
 508.87784, 85.761208, -1.4411582, 1;
 514.8045, 86.005463, -1.4710445, 1;
 229.74416, 73.786392, -0.040346164, 1;
 238.48618, 74.142906, -0.084485643, 1;
 242.38774, 74.312141, -0.10403876, 1;
 255.75749, 74.864555, -0.17238905, 1;
 266.37741, 75.326317, -0.22560164, 0.99999994;
 466.3927, 83.907028, -1.2305243, 1;
 508.90488, 85.763268, -1.4434475, 0.99999994;
 230.11932, 73.801613, -0.044117343, 1;
 235.81256, 74.026161, -0.072978772, 1;
 251.20828, 74.666306, -0.15148836, 1;
 252.07965, 74.704178, -0.15585549, 0.99999994;
 263.04385, 75.180901, -0.21080458, 1;
 503.43082, 85.510834, -1.4183615, 1;
 509.66852, 85.783226, -1.4496093, 1;
 244.74182, 74.412735, -0.11962066, 1;
 483.26813, 84.645737, -1.3192329, 1;
 486.19348, 84.759033, -1.3340973, 1;
 502.92261, 85.489639, -1.4179182, 1;
 205.04622, 72.714195, 0.077924691, 0.99999994;
 222.03101, 73.449333, -0.0072727157, 1;
 223.70576, 73.521858, -0.015672926, 1;
 249.16888, 74.576714, -0.1449946, 1;
 250.02963, 74.614136, -0.14931028, 1;
 459.55588, 83.611145, -1.2024608, 1;
 470.33267, 84.081764, -1.256469, 1;
 500.74353, 85.395477, -1.4090792, 1;
 504.09869, 85.541992, -1.4258937, 1;
 208.39551, 72.841156, 0.057293076, 1;
 243.90047, 74.347198, -0.12041055, 1;
 452.37772, 83.298515, -1.1684989, 1;
 466.24014, 83.903915, -1.237985, 1;
 473.78479, 84.233368, -1.2758033, 1;
 475.95087, 84.32795, -1.286661, 1;
 494.16531, 85.109184, -1.3781644, 1;
 91.774529, 67.935799, 0.64286995, 1;
 234.23203, 73.954567, -0.072432473, 1;
 240.97574, 74.247124, -0.10626359, 1;
 249.30162, 74.581589, -0.14931414, 1;
 455.83923, 83.450562, -1.1878451, 1;
 492.06857, 85.018585, -1.3696846, 0.99999994;
 495.91254, 85.186447, -1.3889567, 1;
 228.74556, 73.715851, -0.046701297, 1;
 260.67282, 75.075623, -0.20816059, 1;
 439.93347, 82.756729, -1.1100615, 1;
 440.96957, 82.801971, -1.1152569, 1;
 447.73083, 83.097298, -1.1491613, 1;
 449.82056, 83.18856, -1.1596402, 1;
 463.51144, 83.786461, -1.228294, 1;
 459.53851, 83.613792, -1.2103319, 1;
 464.96741, 83.836838, -1.2377602, 1;
 469.73422, 84.045059, -1.2616677, 1;
 489.03046, 84.88781, -1.3584481, 1;
 441.13885, 82.811066, -1.1199716, 1;
 445.77036, 83.013351, -1.1432053, 1;
 453.53781, 83.35257, -1.1821709, 1;
 445.5752, 83.005653, -1.1441357, 1;
 453.30365, 83.34317, -1.1829133, 1;
 456.41196, 83.478912, -1.1985091, 1;
 461.25113, 83.676407, -1.2229855, 1;
 215.90921, 73.177452, 0.011060928, 1;
 220.86855, 73.3713, -0.014145448, 1;
 241.13617, 74.224403, -0.11714577, 1;
 255.2554, 74.838379, -0.1880331, 1;
 437.2446, 82.642632, -1.1042205, 1;
 438.76526, 82.709053, -1.1118518, 1;
 461.49857, 83.688148, -1.2261314, 1;
 478.77359, 84.442657, -1.3128244, 1;
 481.41708, 84.558098, -1.3260907, 1;
 218.45615, 73.265961, -0.0037293495, 1;
 429.06195, 82.286041, -1.0650145, 1;
 431.56473, 82.395355, -1.0775768, 1;
 443.66714, 82.923943, -1.1383232, 1;
 477.36444, 84.382019, -1.3076546, 1;
 215.94499, 73.177177, 0.0074985591, 1;
 250.36499, 74.624901, -0.16689563, 1;
 434.93927, 82.543556, -1.0963602, 1;
 448.1951, 83.108856, -1.1631007, 1;
 235.56773, 73.981033, -0.094245657, 1;
 247.35059, 74.493416, -0.15343626, 1;
 251.44997, 74.671692, -0.17402907, 1;
 427.35733, 82.213188, -1.0601177, 1;
 436.79498, 82.625389, -1.1075063, 1;
 439.29361, 82.73452, -1.1200527, 1;
 441.79861, 82.84391, -1.1326309, 1;
